date,less_than_high_school,high_school_no_college,some_college_or_associates,bachelors_or_higher
5/1/20,0.05,0.15,0.25,0.60
6/1/20,0.05,0.13,0.22,0.54
7/1/20,0.04,0.10,0.19,0.47
8/1/20,0.03,0.09,0.17,0.44
9/1/20,0.04,0.08,0.16,0.42
10/1/20,0.03,0.07,0.15,0.40
11/1/20,0.03,0.07,0.16,0.40
12/1/20,0.03,0.09,0.17,0.43
1/1/21,0.03,0.08,0.16,0.43
2/1/21,0.03,0.08,0.16,0.41
3/1/21,0.03,0.08,0.15,0.38
4/1/21,0.02,0.06,0.12,0.34
5/1/21,0.02,0.05,0.11,0.31
6/1/21,0.01,0.05,0.09,0.28
7/1/21,0.02,0.04,0.09,0.25
8/1/21,0.02,0.05,0.10,0.25
9/1/21,0.03,0.05,0.10,0.24
10/1/21,0.01,0.04,0.08,0.22
11/1/21,0.02,0.04,0.07,0.22
12/1/21,0.01,0.04,0.08,0.22